,e1,r,e2,0,1,2
0,Attacks,can_harm,public domain,Attacks,can_harm,public domain
1,IDS,uses,Intrusion Detection,IDS,uses,Intrusion Detection
2,Snort,uses,Intrusion Detection,Snort,uses,Intrusion Detection
3,Snort,can_detect,network attacks,Snort,can_detect,network attacks
4,packet logger,is_part_of,Snort,packet logger,is_part_of,Snort
5,Snort,can_analyze,traffic,Snort,can_analyze,traffic
6,Snort,has_a,data flow,Snort,has_a,data flow
7,Snort,uses,protocol analysis,Snort,uses,protocol analysis
8,Snort,uses,detection technique,Snort,uses,detection technique
9,detection technique,can_detect,attacks,detection technique,can_detect,attacks
10,Snort,can_analyze,packet,Snort,can_analyze,packet
11,Snort rules,has_a,language,Snort rules,has_a,language
12,Snort,can_analyze,previous attack pattern,Snort,can_analyze,previous attack pattern
13,Snort,can_analyze,network behavior,Snort,can_analyze,network behavior
14,Snort,can_analyze,bad packet,Snort,can_analyze,bad packet
15,Packet Decoder,is_part_of,Snort,Packet Decoder,is_part_of,Snort
16,Packet Decoder,can_analyze,packets,Packet Decoder,can_analyze,packets
17,Packet Decoder,has_a,protocols,Packet Decoder,has_a,protocols
18,Packet Decoder,can_analyze,packet,Packet Decoder,can_analyze,packet
19,Packet Decoder,can_analyze,header anomalies,Packet Decoder,can_analyze,header anomalies
20,Preprocessor,is_part_of,Snort,Preprocessor,is_part_of,Snort
21,Preprocessor,can_analyze,HTTP anomalies,Preprocessor,can_analyze,HTTP anomalies
22,Preprocessor,can_analyze,FTP anomalies,Preprocessor,can_analyze,FTP anomalies
23,Preprocessor,can_analyze,packet data,Preprocessor,can_analyze,packet data
24,Detection Engine,is_part_of,Snort,Detection Engine,is_part_of,Snort
25,Detection Engine,uses,detection technique,Detection Engine,uses,detection technique
26,detection technique,can_detect,intrusion,detection technique,can_detect,intrusion
27,intrusion,can_harm,packet,intrusion,can_harm,packet
28,Detection Engine,has_a,rules,Detection Engine,has_a,rules
29,Log Alert system,is_part_of,Snort,Log Alert system,is_part_of,Snort
30,Output Module,is_part_of,Snort,Output Module,is_part_of,Snort
31,Output Module,has_a,output,Output Module,has_a,output
32,Output Module,has_a,alerts,Output Module,has_a,alerts
33,Snort,has_a,Sniff mode,Snort,has_a,Sniff mode
34,Snort,uses,sniff,Snort,uses,sniff
35,Ingress,can_analyze,incoming traffic,Ingress,can_analyze,incoming traffic
36,packet logger,can_analyze,data,packet logger,can_analyze,data
37,Snort,can_analyze,tcpdump pcap,Snort,can_analyze,tcpdump pcap
38,unified2,is_part_of,Snort,unified2,is_part_of,Snort
39,Wireshark,can_analyze,tcpdump pcap,Wireshark,can_analyze,tcpdump pcap
40,Detection alert,can_analyze,IP packets,Detection alert,can_analyze,IP packets
41,Snort rules,can_analyze,system variables,Snort rules,can_analyze,system variables
42,Snort rules,has_a,payload options,Snort rules,has_a,payload options
43,payload options,can_analyze,data,payload options,can_analyze,data
44,Snort rules,has_a,non payload options,Snort rules,has_a,non payload options
45,Packet forwarding,can_analyze,Gateway,Packet forwarding,can_analyze,Gateway
46,Firewall,uses,sniff,Firewall,uses,sniff
47,Firewall,has_a,testing,Firewall,has_a,testing
48,Nmap,has_a,open source,Nmap,has_a,open source
49,open source,is_part_of,tool,open source,is_part_of,tool
50,Nmap,uses,network discovery,Nmap,uses,network discovery
51,Nmap,uses,security auditing,Nmap,uses,security auditing
52,Nmap,can_analyze,exposed,Nmap,can_analyze,exposed
53,target machine,uses,information,target machine,uses,information
54,nmap,can_analyze,packets,nmap,can_analyze,packets
55,Nmap,has_a,network mapper,Nmap,has_a,network mapper
56,network discovery,has_a,tools,network discovery,has_a,tools
57,Nmap,is_part_of,tools,Nmap,is_part_of,tools
58,network administrators,implements,map,network administrators,implements,map
59,map,can_analyze,networks,map,can_analyze,networks
60,program,can_analyze,live hosts,program,can_analyze,live hosts
61,Nmap,uses,network scanning,Nmap,uses,network scanning
62,network scanning,has_a,tool,network scanning,has_a,tool
63,tool,can_analyze,IP packets,tool,can_analyze,IP packets
64,network,uses,information,network,uses,information
65,Nmap,can_analyze,enterprise-scale networks,Nmap,can_analyze,enterprise-scale networks
66,scan,can_analyze,connected devices,scan,can_analyze,connected devices
67,Nmap,uses,IoT security,Nmap,uses,IoT security
68,Nmap,can_analyze,information,Nmap,can_analyze,information
69,legitimate,can_analyze,service,legitimate,can_analyze,service
70,live hosts,has_a,open ports,live hosts,has_a,open ports
71,open ports,can_analyze,OS,open ports,can_analyze,OS
72,scan,can_analyze,server,scan,can_analyze,server
73,hacker,implements,attack,hacker,implements,attack
74,attack,can_harm,site,attack,can_harm,site
75,Nmap,uses,processes,Nmap,uses,processes
76,active,can_analyze,networks,active,can_analyze,networks
77,networks,has_a,IP,networks,has_a,IP
78,administrators,can_analyze,IP,administrators,can_analyze,IP
79,tool,uses,system monitoring,tool,uses,system monitoring
80,Nmap,is_part_of,Metasploit framework,Nmap,is_part_of,Metasploit framework
81,Metasploit framework,uses,probe,Metasploit framework,uses,probe
